Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Pot.;Kg Pot.;BJR Akt.;BJR Pot.;Ton/ha Akt.;Ton/ha Pot.;% Cap.;Gap Ton/Ha;Gap %
JAN;Estate 1;Afdeling 1;927,2;133167;251451;1438890;167790,4;1557696;5,7;9,3;1,6;1,7;92,4;-0,1;7,6
JAN;Estate 1;Afdeling 2;799,6;114985;220319;1154939;148596;1229661,8;5,2;8,3;1,4;1,5;93,9;-0,1;6,1
JAN;Estate 1;Afdeling 3;675,7;98117;175178;734813;127633,9;1083147,1;4,2;8,5;1,1;1,6;67,8;-0,5;32,2
JAN;Estate 2;Afdeling 4;457,2;66094;89923;409240;106411,3;705231;4,6;6,6;0,9;1,5;58;-0,6;42
JAN;Estate 2;Afdeling 5;843,2;121649;125163;604120;184501;1260359,1;4,8;6,8;0,7;1,5;47,9;-0,8;52,1
JAN;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JAN;Plasma;Plasma 2;218,5;31449;12020;40940;48431,5;260015;3,4;5,4;0,2;1,2;15,7;-1;84,3
JAN;Mitra;Mitra 1;67,6;9688;8396;38238;13369,4;93017,6;4,6;7;0,6;1,4;41,1;-0,8;58,9
JAN;Mitra;Mitra 2;137,6;19739;6894;29210;30167,8;183971,2;4,2;6,1;0,2;1,3;15,9;-1,1;84,1
FEB;Estate 1;Afdeling 1;927,2;133167;226001;1222390;191760,5;1780224;5,4;9,3;1,3;1,9;68,7;-0,6;31,3
FEB;Estate 1;Afdeling 2;799,6;114985;190189;920414;169824;1405327,8;4,8;8,3;1,2;1,8;65,5;-0,6;34,5
FEB;Estate 1;Afdeling 3;675,7;98117;149938;568353;145867,3;1237882,4;3,8;8,5;0,8;1,8;45,9;-1;54,1
FEB;Estate 2;Afdeling 4;457,2;66094;80955;415990;121613;805978,3;5,1;6,6;0,9;1,8;51,6;-0,9;48,4
FEB;Estate 2;Afdeling 5;843,2;121649;113803;555150;210858,3;1440410,5;4,9;6,8;0,7;1,7;38,5;-1;61,5
