Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
JAN;Estate 1;Afdeling 1;927,2;133167;251451;1438890;248634,3;1359657,6;5,7;5,5;1,6;1,5;105,8;0,1;-5,8
JAN;Estate 1;Afdeling 2;799,6;114985;220319;1154939;193402,6;936215,8;5,2;4,8;1,4;1,2;123,4;0,3;-23,4
JAN;Estate 1;Afdeling 3;675,7;98117;175178;734813;159636;634920,6;4,2;4;1,1;0,9;115,7;0,1;-15,7
JAN;Estate 2;Afdeling 4;457,2;66094;89923;409240;105136,5;459270,5;4,6;4,4;0,9;1;89,1;-0,1;10,9
JAN;Estate 2;Afdeling 5;843,2;121649;125163;604120;146703,3;647091,2;4,8;4,4;0,7;0,8;93,4;-0,1;6,6
JAN;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JAN;Plasma;Plasma 2;218,5;31449;12020;40940;18880,9;67971,3;3,4;3,6;0,2;0,3;60,2;-0,1;39,8
JAN;Mitra;Mitra 1;67,6;9688;8396;38238;11154,48;40948,72;4,6;3,7;0,6;0,6;93,4;0;6,6
JAN;Mitra;Mitra 2;137,6;19739;6894;29210;13287,2;51868,5;4,2;3,9;0,2;0,4;56,3;-0,2;43,7
FEB;Estate 1;Afdeling 1;927,2;133167;226001;1222390;284088,5;1553539,3;5,4;5,5;1,3;1,7;78,7;-0,4;21,3
FEB;Estate 1;Afdeling 2;799,6;114985;190189;920414;220981;1069716,4;4,8;4,8;1,2;1,3;86;-0,2;14
FEB;Estate 1;Afdeling 3;675,7;98117;149938;568353;182399,5;725457,8;3,8;4;0,8;1,1;78,3;-0,2;21,7
FEB;Estate 2;Afdeling 4;457,2;66094;80955;415990;120156;524880,5;5,1;4,4;0,9;1,1;79,3;-0,2;20,7
FEB;Estate 2;Afdeling 5;843,2;121649;113803;555150;167661;739532,8;4,9;4,4;0,7;0,9;75,1;-0,2;24,9
FEB;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
FEB;Plasma;Plasma 2;218,5;31449;15443;48320;21578,2;77681,5;3,1;3,6;0,2;0,4;62,2;-0,1;37,8
FEB;Mitra;Mitra 1;67,6;9688;6556;26983;12745,1;46787,8;4,1;3,7;0,4;0,7;57,7;-0,3;42,3
FEB;Mitra;Mitra 2;137,6;19739;12647;48200;15181,9;59264,7;3,8;3,9;0,4;0,4;81,3;-0,1;18,7
MAR;Estate 1;Afdeling 1;927,2;133167;224892;1138640;319542,8;1747421,1;5,1;5,5;1,2;1,9;65,2;-0,7;34,8
MAR;Estate 1;Afdeling 2;799,6;114985;165878;728182;248559,5;1203217;4,4;4,8;0,9;1,5;60,5;-0,6;39,5
MAR;Estate 1;Afdeling 3;675,7;98117;145989;514414;205162,9;815994,9;3,5;4;0,8;1,2;63;-0,4;37
MAR;Estate 2;Afdeling 4;457,2;66094;78540;409930;154237,8;659115,1;5,2;4,3;0,9;1,4;62,2;-0,5;37,8
MAR;Estate 2;Afdeling 5;843,2;121649;122037;561330;188618,6;831974,4;4,6;4,4;0,7;1;67,5;-0,3;32,5
MAR;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
MAR;Plasma;Plasma 2;218,5;31449;11455;37000;61874;222746,5;3,2;3,6;0,2;1;16,6;-0,9;83,4
MAR;Mitra;Mitra 1;67,6;9688;10365;43104;14335,6;52627;4,2;3,7;0,6;0,8;81,9;-0,1;18,1
MAR;Mitra;Mitra 2;137,6;19739;22406;90420;17076,6;66660,9;4;3,9;0,7;0,5;135,6;0,2;-35,6
APR;Estate 1;Afdeling 1;927,2;133167;280754;1532270;284088,5;1553539,3;5,5;5,5;1,7;1,7;98,6;0;1,4
APR;Estate 1;Afdeling 2;799,6;114985;216218;993553;220981;1069716,4;4,6;4,8;1,2;1,3;92,9;-0,1;7,1
APR;Estate 1;Afdeling 3;675,7;98117;167740;646669;182399,5;725457,8;3,9;4;1;1,1;89,1;-0,1;10,9
APR;Estate 2;Afdeling 4;457,2;66094;153670;723550;137100,3;585880,1;4,7;4,3;1,6;1,3;123,5;0,3;-23,5
APR;Estate 2;Afdeling 5;843,2;121649;161629;673240;202153;863704;4,2;4,3;0,8;1;77,9;-0,2;22,1
APR;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
APR;Plasma;Plasma 2;218,5;31449;39402;114150;54999,1;197996,9;2,9;3,6;0,5;0,9;57,7;-0,4;42,3
APR;Mitra;Mitra 1;67,6;9688;10922;48288;12745,1;46787,8;4,4;3,7;0,7;0,7;103,2;0;-3,2
APR;Mitra;Mitra 2;137,6;19739;29790;134660;15181,9;59264,7;4,5;3,9;1;0,4;227,2;0,5;-127,2
MEI;Estate 1;Afdeling 1;927,2;133167;257304;1423570;287575,4;1719112,2;5,5;6;1,5;1,9;82,8;-0,3;17,2
MEI;Estate 1;Afdeling 2;799,6;114985;239344;1240444;231382,9;1237721,4;5,2;5,3;1,6;1,5;100,2;0;-0,2
MEI;Estate 1;Afdeling 3;675,7;98117;180736;819242;198302,9;961172,5;4,5;4,8;1,2;1,4;85,2;-0,2;14,8
MEI;Estate 2;Afdeling 4;457,2;66094;152045;807560;143198;688784,3;5,3;4,8;1,8;1,5;117,2;0,3;-17,2
MEI;Estate 2;Afdeling 5;843,2;121649;162554;656700;212641,3;870371,1;4;4,1;0,8;1;75,5;-0,3;24,5
MEI;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
MEI;Plasma;Plasma 2;218,5;31449;63987;197960;63623,1;194725;3,1;3,1;0,9;0,9;101,7;0;-1,7
MEI;Mitra;Mitra 1;67,6;9688;10292;48504;11266,3;47563,9;4,7;4,2;0,7;0,7;102;0;-2
MEI;Mitra;Mitra 2;137,6;19739;37024;158120;15736,6;68865,1;4,3;4,4;1,1;0,5;229,6;0,6;-129,6
JUN;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;287687,2;1719780,9;#DIV/0!;6; -   ;1,9; -   ;-1,9;100
JUN;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;231472,9;1238202,8;#DIV/0!;5,3; -   ;1,5; -   ;-1,5;100
JUN;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;198380;961546,3;#DIV/0!;4,8; -   ;1,4; -   ;-1,4;100
JUN;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;143198;688784,3;#DIV/0!;4,8; -   ;1,5; -   ;-1,5;100
JUN;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;212641,3;870371,1;#DIV/0!;4,1; -   ;1; -   ;-1;100
JUN;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JUN;Plasma;Plasma 2;218,5;31449; -   ; -   ;63623,1;194725;#DIV/0!;3,1; -   ;0,9; -   ;-0,9;100
JUN;Mitra;Mitra 1;67,6;9688; -   ; -   ;11270,6;47582,4;#DIV/0!;4,2; -   ;0,7; -   ;-0,7;100
JUN;Mitra;Mitra 2;137,6;19739; -   ; -   ;15742,7;68891,9;#DIV/0!;4,4; -   ;0,5; -   ;-0,5;100
JUL;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;287687,2;1719780,9;#DIV/0!;6; -   ;1,9; -   ;-1,9;100
JUL;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;231472,9;1238202,8;#DIV/0!;5,3; -   ;1,5; -   ;-1,5;100
JUL;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;198380;961546,3;#DIV/0!;4,8; -   ;1,4; -   ;-1,4;100
JUL;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;143198;688784,3;#DIV/0!;4,8; -   ;1,5; -   ;-1,5;100
JUL;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;212641,3;870371,1;#DIV/0!;4,1; -   ;1; -   ;-1;100
JUL;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JUL;Plasma;Plasma 2;218,5;31449; -   ; -   ;63623,1;194725;#DIV/0!;3,1; -   ;0,9; -   ;-0,9;100
JUL;Mitra;Mitra 1;67,6;9688; -   ; -   ;11270,6;47582,4;#DIV/0!;4,2; -   ;0,7; -   ;-0,7;100
JUL;Mitra;Mitra 2;137,6;19739; -   ; -   ;15742,7;68891,9;#DIV/0!;4,4; -   ;0,5; -   ;-0,5;100
AGT;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;255585,3;1527876,9;#DIV/0!;6; -   ;1,6; -   ;-1,6;100
